TRADING_NAME,ADDRESS,LOCATION,POSTCODE,AREA_DESCRIPTION,REGION_DESCRIPTION,latitude,longitude
BP Malaga,370 Victoria Rd,MALAGA,6090,North of River,Metro,-31.8625,115.8949
BP Manjimup,96 Giblett St,MANJIMUP,6258,Manjimup,South-West,-34.2386,116.1482
BP Mindarie,360 Anchorage Dr North,MINDARIE,6030,North of River,Metro,-31.6771,115.7112
BP Moora Depot,153 Gardiner St,MOORA,6510,Moora,Wheatbelt,-30.6353,116.0088
BP Morley,335 Walter Rd West,MORLEY,6062,North of River,Metro,-31.8944,115.9054
BP Mullaloo,101 Dampier Av,MULLALOO,6027,North of River,Metro,-31.7799,115.744
BP Munglinup,16 Tubada St,MUNGLINUP,6450,Munglinup,Goldfields-Esperance,-33.705,120.8607
BP Narrogin,37 Federal St,NARROGIN,6312,Narrogin,Wheatbelt,-32.9333,117.1791
BP Naval Base,1351 Rockingham Rd,NAVAL BASE,6165,South of River,Metro,-32.2,115.7818
BP Newman South,101 Great Northern Hwy,NEWMAN,6753,Newman,Pilbara,-23.4542,119.7988
BP Nookenburra,386 Scarborough Beach Rd,INNALOO,6018,North of River,Metro,-31.9027,115.7992
BP Norseman,Lot 2 Eyre Hwy,NORSEMAN,6443,Norseman,Goldfields-Esperance,-31.7336,128.6612
BP Northam OPT,78 Old York Rd,NORTHAM,6401,Northam-Shire,Wheatbelt,-31.6498,116.6839
BP Parklands,85 Forrest Ave,SOUTH BUNBURY,6230,Bunbury,South-West,-33.3415,115.6501
BP Pemberton Garage & Service Station,84 Brockman St,PEMBERTON,6260,Manjimup,South-West,-34.4438,116.0372
BP Piara Waters,12 Erade Dr,PIARA WATERS,6112,South of River,Metro,-32.1169,115.9151
BP Picton Truckstop,Lot 202 Wimbridge Rd,PICTON,6229,Bunbury,South-West,-33.3454,115.696
BP Picton Wetherley Dr,24 Wetherly Dr,PICTON,6229,Bunbury,South-West,-33.3446,115.7083
BP Port Hedland Boulevard,150 Anderson St,PORT HEDLAND,6721,Port Hedland,Pilbara,-20.3116,118.6084
BP Port Hedland,90 Anderson St,PORT HEDLAND,6721,Port Hedland,Pilbara,-20.3121,118.5874
BP Port Kennedy,46 Bakewell Dr,PORT KENNEDY,6172,South of River,Metro,-32.3712,115.7628
BP Ravensthorpe,47 Morgans St,RAVENSTHORPE,6346,Ravensthorpe,Goldfields-Esperance,-33.5816,120.0449
BP Roadhouse Bridgetown,43 Hampton St,BRIDGETOWN,6255,B-Town/G-Bushes,South-West,-33.9632,116.1354
BP Roadhouse Dongara,30373 Brand Hwy,DONGARA,6525,Dongara,Mid-West,-29.2519,114.9403
BP Rosegarden,129 Stirling Hwy,NEDLANDS,6009,North of River,Metro,-31.9798,115.7983
BP Shinju Broome,101 Guy St,BROOME,6725,Broome,Kimberley,-17.9639,122.2241
BP Singleton,2514 Mandurah Rd,SINGLETON,6175,South of River,Metro,-32.4472,115.7628
BP Sorrento,128 West Coast Dr,SORRENTO,6020,North of River,Metro,-31.8323,115.7476
BP South Bunbury,188 Spencer St,SOUTH BUNBURY,6230,Bunbury,South-West,-33.3452,115.6408
BP South Fremantle,229B Hampton Rd,SOUTH FREMANTLE,6162,South of River,Metro,-32.0768,115.7609
BP South Hedland,2 Throssell Rd,SOUTH HEDLAND,6722,Port Hedland,Pilbara,-20.409,118.6013
BP Spencer Park Service Station,30 Angove Rd,SPENCER PARK,6330,Albany,Great Southern,-35.009,117.8994
BP The Lakes Roadhouse,13724 Great Eastern Hwy,THE LAKES,6556,East/Hills,Metro,-31.8537,116.3253
BP Thornlie,459 Nicholson Rd,CANNING VALE,6155,South of River,Metro,-32.0634,115.9363
BP Waikiki,430 Safety Bay Rd,SAFETY BAY,6169,South of River,Metro,-32.31,115.7324
BP Walpole,18 Nockolds St,WALPOLE,6398,Manjimup,South-West,-34.9764,116.7313
BP Wedgefield OPT,Cnr Pinga St & Anthill St,WEDGEFIELD,6721,Port Hedland,Pilbara,-20.3749,118.5943
BP Welshpool,1 Ballantyne Rd,KEWDALE,6105,South of River,Metro,-31.9864,115.9365
BP West Kalgoorlie,11 Wilurarra Rd,WEST KALGOORLIE,6430,Boulder,Goldfields-Esperance,-30.7856,121.4336
BP Westgate,85 Queen Victoria St,FREMANTLE,6160,South of River,Metro,-32.0457,115.7529
BP Williams Roadhouse,16 Albany Hwy,WILLIAMS,6391,Williams,Wheatbelt,-33.0323,116.8804
BP Wonthella Service Station,190 North West Coastal Hwy,WEBBERTON,6530,Geraldton,Mid-West,-28.7589,114.6248
BP Woodbridge,380 Great Eastern Hwy,WOODBRIDGE,6056,South of River,Metro,-31.8904,115.9953
BP Wubin,80-82 Great Northern Hwy,WUBIN,6612,Wubin,Wheatbelt,-30.1077,116.6328
Bakers Food and Fuel,46458 South Coast Hwy,KING RIVER,6330,Albany,Great Southern,-34.929,117.9154
Balingup Liquor & General Store,12 Bridgetown Rd,BALINGUP,6253,D-Brook/Bal-Up,South-West,-33.7842,115.9841
Better Choice Bellevue,177-179 Great Eastern Hwy,BELLEVUE,6056,East/Hills,Metro,-31.8932,116.0196
Better Choice Como,25 Preston St,COMO,6152,South of River,Metro,-31.9946,115.8589
Better Choice Edgewater,21 Edgewater Dr,EDGEWATER,6027,North of River,Metro,-31.7719,115.7893
Better Choice Karridale Roadhouse,12440 Bussell Hwy,KARRIDALE,6288,Augusta-M River,South-West,-34.2021,115.0988
Better Choice Malaga,3 Carson Rd,MALAGA,6090,North of River,Metro,-31.8551,115.8782
Better Choice Margaret River,211 Bussell Hwy,MARGARET RIVER,6285,Augusta-M River,South-West,-33.6639,115.3592
Better Choice Tuart Hill,150 Wanneroo Rd,TUART HILL,6060,North of River,Metro,-31.8971,115.8414
Binningup General Store,21 Coronation Dr,BINNINGUP,6233,Harvey,South-West,-33.1497,115.6885
Bodallin Roadhouse,57 Corboy St,BODALLIN,6424,Bodallin,Wheatbelt,-31.3702,118.8561
Boyanup Fuel,8B South Western Hwy,BOYANUP,6237,Capel,South-West,-33.4836,115.7275
Burk Alkimos,12 Longstaff Ave,ALKIMOS,6038,North of River,Metro,-31.6282,115.6919
Burk Bassendean,309 Guildford Rd,BASSENDEAN,6054,North of River,Metro,-31.9012,115.9592
Burk Broadwater,545 Bussell Hwy,BROADWATER,6280,Busselton-Shire,South-West,-33.6596,115.2793
Burk Camillo,Cnr Westfield Rd & Ypres Rd,CAMILLO,6111,South of River,Metro,-32.1186,116.0028
Burk Landsdale,274 Gnangara Rd,LANDSDALE,6065,North of River,Metro,-31.7993,115.8469
Burk Malaga,1 Harlond Ave,MALAGA,6090,North of River,Metro,-31.8559,115.8915
Burk West Swan,6639 West Swan Rd,WEST SWAN,6055,North of River,Metro,-31.839,115.9906
Burk Williams,24 Albany Hwy,WILLIAMS,6391,Williams,Wheatbelt,-32.9946,116.8475
CGL Fuel,3 Bandicoot Dr,KUNUNURRA,6743,Kununurra,Kimberley,-15.7835,128.7323
Caltex Alexander Heights,200 Mirrabooka Ave,ALEXANDER HEIGHTS,6064,North of River,Metro,-31.8293,115.8528
Caltex Armadale,10 Orchard Ave,ARMADALE,6112,South of River,Metro,-32.1503,116.015
Caltex Baldivis,67 Ridge Bvd,BALDIVIS,6171,South of River,Metro,-32.3537,115.8078
Caltex Barragup,715 Pinjarra Rd,BARRAGUP,6209,Murray,Peel,-32.5575,115.7868
Caltex Bayswater,502 Guildford Rd,BAYSWATER,6053,North of River,Metro,-31.9194,115.9292
Caltex Bedfordale,681 Albany Hwy,BEDFORDALE,6112,East/Hills,Metro,-32.182,116.0757
Caltex Bellevue,16-20 Clayton St,BELLEVUE,6056,East/Hills,Metro,-31.8992,116.0194
Caltex Belmont,33 Belvidere St,BELMONT,6104,South of River,Metro,-31.9464,115.9396
Caltex Bentley,1/1163 Albany Hwy,BENTLEY,6102,South of River,Metro,-32.0043,115.9204
Caltex Binningup,7080 Forrest Hwy,BINNINGUP,6233,Harvey,South-West,-33.1266,115.7198
Caltex Bunbury South,1 Brittain Rd,CAREY PARK,6230,Bunbury,South-West,-33.36,115.6442
Caltex Burswood,265 Great Eastern Hwy,BURSWOOD,6100,South of River,Metro,-31.9604,115.9018
Caltex Busselton,99 Causeway Rd,BUSSELTON,6280,Busselton-Shire,South-West,-33.6627,115.3585
Caltex Byford,8 Kardan Bvd,BYFORD,6122,South of River,Metro,-32.2078,115.9777
Caltex Castletown,49 Norseman Rd,CASTLETOWN,6450,Esperance,Goldfields-Esperance,-33.8381,121.8996
Caltex Chadwick OPT,Lot 6 Beckwith Rd,CHADWICK,6450,Esperance,Goldfields-Esperance,-33.8428,121.8839
Caltex Como,393 Canning Hwy,COMO,6152,South of River,Metro,-31.9989,115.8624
Caltex Dalwallinu,4 Johnston St,DALWALLINU,6609,Dalwallinu,Wheatbelt,-30.28,116.6629
Caltex Dayton,8 Repton St,DAYTON,6055,North of River,Metro,-31.8506,115.9688
Caltex Dianella,61 Walter Rd West,DIANELLA,6059,North of River,Metro,-31.9065,115.8819
Caltex Edgewater,2 The Gateway,EDGEWATER,6027,North of River,Metro,-31.7634,115.7734
Caltex Forrestdale,4 Remisko Dr,FORRESTDALE,6112,South of River,Metro,-32.1427,115.9742
Caltex Glen Forrest,1400 Great Eastern Hwy,GLEN FORREST,6071,East/Hills,Metro,-31.9034,116.1047
Caltex Glenfield,1182 Chapman Rd,GLENFIELD,6532,Geraldton,Mid-West,-28.6714,114.6219
Caltex Gwelup,1 Wishart St,GWELUP,6018,North of River,Metro,-31.8763,115.7969
Caltex Hamilton Hill North,224 Clontarf Rd,HAMILTON HILL,6163,South of River,Metro,-32.0755,115.7795
Caltex Hamilton Hill South,216 Rockingham Rd,HAMILTON HILL,6163,South of River,Metro,-32.0931,115.783
Caltex Henderson OPT,81 Quill Way,HENDERSON,6166,South of River,Metro,-32.1555,115.7706
Caltex High Wycombe OPT,494 Kalamunda Rd,HIGH WYCOMBE,6057,East/Hills,Metro,-31.9369,116.008
Caltex Joondalup,49 Candlewood Bvd,JOONDALUP,6027,North of River,Metro,-31.7287,115.765
Caltex Kalamunda,26 Kalamunda Rd,KALAMUNDA,6076,East/Hills,Metro,-31.9681,116.0531
Caltex Kalgoorlie OPT,9 Kayili Rd,WEST KALGOORLIE,6430,Boulder,Goldfields-Esperance,-30.7831,121.4322
Caltex Kalgoorlie,77 Egan St,KALGOORLIE,6430,Kalgoorlie,Goldfields-Esperance,-30.7469,121.4757
Caltex Karragullen,164 Brookton Hwy,KARRAGULLEN,6111,East/Hills,Metro,-32.1001,116.1167
Caltex Kelmscott,2907 Albany Hwy,KELMSCOTT,6111,South of River,Metro,-32.1191,116.0162
Caltex Kelvin Rd,137 Kelvin Rd,MADDINGTON,6109,South of River,Metro,-32.0346,116.001
Caltex Kiara,157 Morley Dr,KIARA,6054,North of River,Metro,-31.8872,115.9383
Caltex Kwinana Truck Stop,4 Ocean St,KWINANA BEACH,6167,South of River,Metro,-32.2476,115.7732
Caltex Lakes Road Nambeelup,6 Dollyup Street,STAKE HILL,6181,Murray,Peel,-32.5105,115.8152
Caltex Landsdale,220 Gnangara Rd,LANDSDALE,6065,North of River,Metro,-31.8012,115.8415
Caltex Langford,230-234 Nicholson Rd,LANGFORD,6147,South of River,Metro,-32.0473,115.9324
Caltex Lesmurdie,194 Canning Rd,LESMURDIE,6076,East/Hills,Metro,-31.9915,116.0641
Caltex Lynwood,2 Lynwood Ave,LYNWOOD,6147,South of River,Metro,-32.0356,115.9271
Caltex Maddington Truck Stop,18 Orchard Rd,MADDINGTON,6109,South of River,Metro,-32.0348,115.9993
Caltex Madeley,182 Wanneroo Rd,MADELEY,6065,North of River,Metro,-31.8176,115.8213
Caltex Malaga,1896 Beach Rd,MALAGA,6090,North of River,Metro,-31.853,115.8821
Caltex Mandurah,105 Reserve Dr,MANDURAH,6210,Mandurah,Peel,-32.5122,115.7375
Caltex Manjimup Roadhouse,1182 South Western Hwy,MANJIMUP,6258,Manjimup,South-West,-34.2328,116.1494
Caltex Meadow Springs,25 Meadow Springs Dr,MEADOW SPRINGS,6210,Mandurah,Peel,-32.4936,115.7471
Caltex Merriwa,5/4 Hughie Edwards Dr,MERRIWA,6030,North of River,Metro,-31.66,115.7062
Caltex Midvale,232-234 Morrison Rd,MIDVALE,6056,East/Hills,Metro,-31.8864,116.0318
Caltex Mindarie,22 Anchorage Dr,MINDARIE,6030,North of River,Metro,-31.6936,115.7137
Caltex Moora,65 Roberts St,MOORA,6510,Moora,Wheatbelt,-30.6383,116.0058
Caltex Mount Lawley,81 Guildford Rd,MOUNT LAWLEY,6050,North of River,Metro,-31.9345,115.8841
Caltex Mt Melville,317 Albany Hwy,MOUNT MELVILLE,6330,Albany,Great Southern,-35.0047,117.8661
Caltex Mundaring,7060 Great Eastern Hwy,MUNDARING,6073,East/Hills,Metro,-31.902,116.1646
Caltex Munster,512 Rockingham Rd,MUNSTER,6166,South of River,Metro,-32.1429,115.7899
Caltex Murdoch,170 Murdoch Dr,MURDOCH,6150,South of River,Metro,-32.079,115.843
Caltex Myalup,6043 Forrest Hwy,MYALUP,6220,Harvey,South-West,-33.0342,115.7354
Caltex Naval Base,Cnr Rockingham Rd & Lee Rd,NAVAL BASE,6165,South of River,Metro,-32.2056,115.7833
Caltex Neerabup,2056 Wanneroo Rd,NEERABUP,6031,North of River,Metro,-31.6712,115.7422
Caltex North Perth,311 Fitzgerald St,WEST PERTH,6005,North of River,Metro,-31.9366,115.8579
Caltex Osborne Park,8 Main St,OSBORNE PARK,6017,North of River,Metro,-31.9137,115.8285
Caltex Parmelia,60 Meares Ave,KWINANA TOWN CENTRE,6167,South of River,Metro,-32.2473,115.8169
Caltex Pearsall,204 Shiraz Bvd,PEARSALL,6065,North of River,Metro,-31.7856,115.8262
Caltex Piccadilly,7 Maritana St,PICCADILLY,6430,Kalgoorlie,Goldfields-Esperance,-30.7389,121.4661
Caltex South Hedland,1 Altitude Ave,PORT HEDLAND,6721,Port Hedland,Pilbara,-20.3716,118.6122
Caltex Stratham,1540 Bussell Hwy,STRATHAM,6237,Capel,South-West,-33.4679,115.594
Caltex Tammin,15323 Great Eastern Hwy,TAMMIN,6409,Tammin,Wheatbelt,-31.6404,117.4912
Caltex Tarcoola,156 Brand Hwy,TARCOOLA BEACH,6530,Geraldton,Mid-West,-28.8028,114.6209
Caltex Upper Swan,1383 Great Northern Hwy,UPPER SWAN,6069,East/Hills,Metro,-31.7711,116.0286
Caltex Victoria Park,162-170 Albany Hwy,VICTORIA PARK,6100,South of River,Metro,-31.97,115.892
Caltex Wangara,1 Brady St,WANGARA,6065,North of River,Metro,-31.7861,115.8192
Caltex Warnbro,649-651 Safety Bay Rd,WARNBRO,6169,South of River,Metro,-32.3262,115.7497
Caltex Wattle Grove,604 Welshpool Rd East,WATTLE GROVE,6107,East/Hills,Metro,-32.0063,115.9888
Caltex Welshpool,23 Kewdale Rd,WELSHPOOL,6106,South of River,Metro,-31.9915,115.9467
Caltex Westfield Street,134 Westfield St,MADDINGTON,6109,South of River,Metro,-32.0534,116.0016
Caltex Wooroloo,3381 Great Eastern Hwy,WUNDOWIE,6558,Northam-Shire,Wheatbelt,-31.8066,116.362
Caltex Yokine,398 Hector St,YOKINE,6060,North of River,Metro,-31.9047,115.8497
Cape Agencies,20 Windsor Rd,WELLSTEAD,6328,Albany,Great Southern,-34.4945,118.6045
Carbunup River Store,6672 Bussell Hwy,CARBUNUP RIVER,6280,Busselton-Shire,South-West,-33.6991,115.189
Castletown Service Station,57 Goldfields Rd,CASTLETOWN,6450,Esperance,Goldfields-Esperance,-33.838,121.9079
Cheynes Beach Caravan Park,12 Bald Island Rd,CHEYNES,6328,Albany,Great Southern,-34.8843,118.4047
Chidlow Growers Mart Liquor Store,570 Rosedale Rd,CHIDLOW,6556,East/Hills,Metro,-31.8577,116.266
Colroy Country Kitchen,93 Capel Dr,CAPEL,6271,Capel,South-West,-33.5516,115.5632
Condello's Liquor Waterloo,14755 South Western Hwy,PICTON EAST,6229,Dardanup,South-West,-33.3397,115.7233
Costco Casuarina,137 Market St,CASUARINA,6167,South of River,Metro,-32.2344,115.8525
Costco Perth Airport,142 Dunreath Dr,PERTH AIRPORT,6105,South of River,Metro,-31.9427,115.9517
Crudeli's Auto Repairs,24 Maitland Rd,MULLEWA,6630,Geraldton,Mid-West,-28.5399,115.5134
Dardanup Garage & Service Station,11 Charlotte St,DARDANUP,6236,Dardanup,South-West,-33.3995,115.7545
Darnell's General Store,1230 Rosa Brook Rd,ROSA BROOK,6285,Augusta-M River,South-West,-33.9405,115.1962
De Rosa's Highway Motors,8222 South Western Hwy,WAROONA,6215,Waroona,Peel,-32.8355,115.9171
Del Park Roadhouse,4267 South Western Hwy,NORTH DANDALUP,6207,Murray,Peel,-32.5225,115.9702
Derby Fuels,46 Clarendon St,DERBY,6728,Derby,Kimberley,-17.3056,123.6293
Dunning's Broome,7 Clementson St,BROOME,6725,Broome,Kimberley,-17.9709,122.2181
Dunning's Carnarvon,125 Robinson St,MORGANTOWN,6701,Carnarvon,Gascoyne,-24.8778,113.661
Dunning's KCD Fuels,520 Robinson St,KINGSFORD,6701,Carnarvon,Gascoyne,-24.865,113.6939
Dunning's Karratha,Lot 1437 Warambie Road,KARRATHA,6714,Karratha,Pilbara,-20.7325,116.8437
Dunning's Manjimup,5 Margerison St,MANJIMUP,6258,Manjimup,South-West,-34.2612,116.1489
Dunning's Newman,21 Willis St,NEWMAN,6753,Newman,Pilbara,-23.3706,119.7326
Dunning's Northam,38 Peel Tce,NORTHAM,6401,Northam-Shire,Wheatbelt,-31.6504,116.6784
Dunning's Picton,254 South Western Hwy,PICTON,6229,Bunbury,South-West,-33.3513,115.6909
Dunning's Thompsons Garage,127 Giblett St,MANJIMUP,6258,Manjimup,South-West,-34.2393,116.1473
Dwellingup BP,48 McLarty St,DWELLINGUP,6213,Murray,Peel,-32.714,116.0625
EG Ampol Alkimos,11 Shorehaven Bvd,ALKIMOS,6038,North of River,Metro,-31.6019,115.681
EG Ampol Australind,Cnr Grand Ent & The Promenade,AUSTRALIND,6233,Harvey,South-West,-33.2785,115.7443
EG Ampol Aveley,317 Millhouse Rd,AVELEY,6069,North of River,Metro,-31.7775,115.9873
EG Ampol Ballajura,5 Hamelin Dr,BALLAJURA,6066,North of River,Metro,-31.8466,115.9068
EG Ampol Banksia Grove,133 Ghost Gum Bvd,BANKSIA GROVE,6031,North of River,Metro,-31.7045,115.8019
EG Ampol Brabham,3 Marvel Ent,BRABHAM,6055,East/Hills,Metro,-31.8328,115.9683
EG Ampol Brooks Garden,162 Chester Pass Rd,LANGE,6330,Albany,Great Southern,-34.9898,117.877
EG Ampol Bunbury,Lot 68 Pennant Rd,EAST BUNBURY,6230,Bunbury,South-West,-33.3368,115.6576
EG Ampol Canning Vale,15 Sarah Cl,CANNING VALE,6155,South of River,Metro,-32.0731,115.9255
EG Ampol Carnarvon,90 Robinson St,CARNARVON,6701,Carnarvon,Gascoyne,-24.8803,113.6604
EG Ampol Currambine Marketplace,1244 Marmion Ave,CURRAMBINE,6028,North of River,Metro,-31.7395,115.7383
EG Ampol Dianella,372 Grand Prom,DIANELLA,6059,North of River,Metro,-31.8956,115.8704
EG Ampol Djugun,106 Frederick St,DJUGUN,6725,Broome,Kimberley,-17.9518,122.229
EG Ampol Eaton,2 Recreation Dr,EATON,6232,Dardanup,South-West,-33.3186,115.7165
EG Ampol Ellenbrook,11 Main St,ELLENBROOK,6069,North of River,Metro,-31.7814,115.9677
EG Ampol Falcon,651 Old Coast Rd,FALCON,6210,Mandurah,Peel,-32.5849,115.6599
EG Ampol Floreat,5 Howtree Pl,FLOREAT,6014,North of River,Metro,-31.9367,115.7926
EG Ampol Geraldton,59 Cathedral Ave,GERALDTON,6530,Geraldton,Mid-West,-28.7759,114.6112
EG Ampol Greenwood,37 Canham Way,GREENWOOD,6024,North of River,Metro,-31.8218,115.8204
EG Ampol Joondalup Winton Road,189 Winton Rd,JOONDALUP,6027,North of River,Metro,-31.7449,115.7633
EG Ampol Maddington West,207 Burslem Dr,MADDINGTON,6109,South of River,Metro,-32.0493,115.9775
EG Ampol Mandurah Forum,330 Pinjarra Rd,MANDURAH,6210,Mandurah,Peel,-32.5355,115.7424
EG Ampol Mandurah,10-12 Magenta Tce,MANDURAH,6210,Mandurah,Peel,-32.5096,115.7409
EG Ampol Manjimup,89 Mottram St,MANJIMUP,6258,Manjimup,South-West,-34.2393,116.1488
EG Ampol Mirrabooka,53 Yirrigan Dr,MIRRABOOKA,6061,North of River,Metro,-31.8735,115.8613
EG Ampol Morley Galleria,60 Russell St,MORLEY,6062,North of River,Metro,-31.8967,115.8957
EG Ampol Northam,86 Wellington St,NORTHAM,6401,Northam-Shire,Wheatbelt,-31.6542,116.6723
EG Ampol Osborne Park,401 Scarborough Beach Rd,OSBORNE PARK,6017,North of River,Metro,-31.9107,115.814
EG Ampol Port Kennedy,12 Saltaire Way,PORT KENNEDY,6172,South of River,Metro,-32.3738,115.7559
EG Ampol South Fremantle,219 Hampton Rd,SOUTH FREMANTLE,6162,South of River,Metro,-32.0739,115.7591
EG Ampol South Lake,752 North Lake Rd,SOUTH LAKE,6164,South of River,Metro,-32.1156,115.838
EG Ampol Southern River,466 Warton Rd,SOUTHERN RIVER,6110,South of River,Metro,-32.0964,115.9359
EG Ampol Warnbro,202 Warnbro Sound Ave,WARNBRO,6169,South of River,Metro,-32.346,115.7616
EG Ampol Whitfords,470 Whitfords Ave,HILLARYS,6025,North of River,Metro,-31.7968,115.7498
Eagle West Kalgoorlie Truckstop,2 Brinsden Rd,WEST KALGOORLIE,6430,Boulder,Goldfields-Esperance,-30.7775,121.4315
Elleker General Store,1309 Lower Denmark Rd,ELLEKER,6330,Albany,Great Southern,-35.0086,117.7244
Exmouth Fuel Supplies,2 Huston St,EXMOUTH,6707,Exmouth,Gascoyne,-21.9371,114.1262
FDWA Cunderdin,67 Lundy Ave,CUNDERDIN,6407,Cunderdin,Wheatbelt,-31.6496,117.2421
FastFuel 24/7,54 Cumberland Rd,FORRESTFIELD,6058,East/Hills,Metro,-31.9954,116.0118
Fitzroy River Lodge,Lot 277 Great Northern Hwy,FITZROY CROSSING,6765,Fitzroy Cross,Kimberley,-18.2106,125.5819
Fruit Barn,7 South Western Hwy,DONNYBROOK,6239,D-Brook/Bal-Up,South-West,-33.5691,115.8216
GD's Brunswick Roadhouse,94 Ommaney Rd,BRUNSWICK,6224,Harvey,South-West,-33.2597,115.8368
GSG WA Pty Ltd,111 Morgans St,RAVENSTHORPE,6346,Ravensthorpe,Goldfields-Esperance,-33.581,120.0528
Geographe IGA,328 Marine Tce,GEOGRAPHE,6280,Busselton-Shire,South-West,-33.6382,115.3763
Geographe Petroleum Margaret River,12 Auger Way,MARGARET RIVER,6285,Augusta-M River,South-West,-33.966,115.0718
Geographe Petroleum,84 Strelly St,BUSSELTON,6280,Busselton-Shire,South-West,-33.6628,115.3486
Glen Forrest Fuel,20 Great Eastern Hwy,GLEN FORREST,6071,East/Hills,Metro,-31.9012,116.09
Gracie's General,2 Bayview Dr,GRACETOWN,6284,Augusta-M River,South-West,-33.8648,114.9884
Greenbushes Roadhouse,28 Blackwood Rd,GREENBUSHES,6254,B-Town/G-Bushes,South-West,-33.8485,116.059
Gull Collie,143 Throssell St,COLLIE,6225,Collie,South-West,-33.3595,116.1503
Gull Waterloo,14270 South Western Hwy,WATERLOO,6228,Dardanup,South-West,-33.3236,115.7702
Gull York Roadhouse,63 Avon Tce,YORK,6302,York,Wheatbelt,-31.8933,116.7679
Harbour Rd Truckstop,213 Harbour Rd,CHADWICK,6450,Esperance,Goldfields-Esperance,-33.832,121.8943
Herne Hill General Store,777 Great Northern Hwy,HERNE HILL,6056,East/Hills,Metro,-31.825,116.0164
Hi-Way Sales & Service 1982,154 Albany Hwy,KOJONUP,6395,Kojonup,Great Southern,-33.8406,117.1614
Hills Emporio,1615 Canning Rd,KARRAGULLEN,6111,East/Hills,Metro,-32.0863,116.1156
Hillview Roadhouse and Motel,47 Albany Hwy,KOJONUP,6395,Kojonup,Great Southern,-33.8275,117.1593
Kambalda Roadhouse,2 Bluebush Rd,KAMBALDA WEST,6442,Kambalda,Goldfields-Esperance,-31.2115,121.6218
Karnup Roadhouse,2263 Mandurah Rd,KARNUP,6176,South of River,Metro,-32.4273,115.7748
Karridale Crossroads General Store,12425 Bussell Hwy,KARRIDALE,6288,Augusta-M River,South-West,-34.2013,115.1
Liberty Banksia Grove,7 Honeybee Pde,BANKSIA GROVE,6031,North of River,Metro,-31.7038,115.7992
Liberty Beckenham,63 William St,BECKENHAM,6107,South of River,Metro,-32.0221,115.9549
Liberty Busselton West,100 West St,WEST BUSSELTON,6280,Busselton-Shire,South-West,-33.656,115.3413
Liberty Cannington,25 Cecil Ave,CANNINGTON,6107,South of River,Metro,-32.0166,115.9382
Liberty Cataby,10805 Brand Hwy,CATABY,6507,Cataby,Wheatbelt,-30.7356,115.5385
Liberty Dalyellup,9 Norton Prom,DALYELLUP,6230,Capel,South-West,-33.3964,115.637
Liberty Dongara,30215 Brand Hwy,DONGARA,6525,Dongara,Mid-West,-29.2531,114.9564
Liberty East Rockingham,115 Dixon Rd,EAST ROCKINGHAM,6168,South of River,Metro,-32.2765,115.7736
Liberty Gosnells,2341 Albany Hwy,GOSNELLS,6110,South of River,Metro,-32.0753,116.0057
Liberty Karratha,2 Cockatoo St,NICKOL,6714,Karratha,Pilbara,-20.7468,116.8087
Liberty Landsdale,2 Cowle St,LANDSDALE,6065,North of River,Metro,-31.8028,115.8377
Liberty McKail,557 Albany Hwy,MCKAIL,6330,Albany,Great Southern,-34.9855,117.8517
Liberty Naval Base,24 Dooley St,NAVAL BASE,6165,South of River,Metro,-32.198,115.7831
Liberty O'Connor,9 Pritchard St,O'CONNOR,6163,South of River,Metro,-32.0631,115.7921
Liberty Oyster Harbour,4 Bayonet Head Rd,BAYONET HEAD,6330,Albany,Great Southern,-34.9818,117.9222
Liberty Pinjarra,Cnr Pinjarra Rd & Carey St,PINJARRA,6208,Murray,Peel,-32.6266,115.8696
Liberty Tapping,3 Herdsman Lane,WANNEROO,6065,North of River,Metro,-31.751,115.8028
Liberty West Busselton,259 Bussell Hwy,WEST BUSSELTON,6280,Busselton-Shire,South-West,-33.6574,115.3119
Little Grove General Store,639 Frenchmans Bay Rd,LITTLE GROVE,6330,Albany,Great Southern,-35.068,117.8698
Lori's Fuel Supply,259 Railway Ave,KELMSCOTT,6111,South of River,Metro,-32.1352,116.0098
Maisey Fuels Flores Road,83 Flores Rd,WEBBERTON,6530,Geraldton,Mid-West,-28.7559,114.6301
Maisey Fuels Rudds Gully,512 Rudds Gully Rd,NARNGULU,6532,Geraldton,Mid-West,-28.8234,114.6905
Manypeaks Store,43738 South Coast Hwy,MANYPEAKS,6328,Albany,Great Southern,-34.8383,118.172
Meekatharra Caravan Park,119 Main St,MEEKATHARRA,6642,Meekatharra,Mid-West,-26.5965,118.4933
Meekatharra Corner Store,16 Main St,MEEKATHARRA,6642,Meekatharra,Mid-West,-26.5868,118.4978
Metro Albany,269 York St,ALBANY,6330,Albany,Great Southern,-35.0219,117.883
Metro Bassendean,2/335 Collier Rd,BASSENDEAN,6054,North of River,Metro,-31.9052,115.932
Metro Canning Vale,Lot 322 Ranford Rd,CANNING VALE,6155,South of River,Metro,-32.0926,115.9238
Metro Geraldton,1 Fortyn Ct,MAHOMETS FLATS,6530,Geraldton,Mid-West,-28.7917,114.6164
Metro Jurien Bay,74 Bashford St,JURIEN BAY,6516,Jurien,Wheatbelt,-30.3062,115.0372
Metro Wangara,79 Gnangara Road,WANGARA,6065,North of River,Metro,-31.8019,115.8278
